Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Engineer,"Baton Rouge, LA",,80710,94187,108989,125193,139945
Data Engineer,"Tacoma, WA",,92357,107779,124717,143259,160140
Data Engineer,"San Bernardino, CA",,91492,106768,123548,141916,158639
Data Engineer,"Modesto, CA",,91153,106374,123091,141391,158053
Data Engineer,"Fontana, CA",,91875,107215,124065,142510,159303
Data Engineer,"Des Moines, IA",,82936,96784,111995,128645,143805
Data Engineer,"Moreno Valley, CA",,91806,107135,123972,142403,159184
Data Engineer,"Santa Clarita, CA",,95179,111072,128528,147636,165033
Data Engineer,"Fayetteville, NC",,78804,91962,106414,122235,136639
Data Engineer,"Birmingham, AL",,81054,94588,109453,125725,140541
Data Engineer,"Oxnard, CA",,92064,107436,124320,142803,159631
Data Engineer,"Rochester, NY",,84660,98796,114322,131319,146793
Data Engineer,"Grand Rapids, MI",,83287,97193,112468,129189,144412
Data Engineer,"Huntsville, AL",,82127,95840,110902,127391,142402
Data Engineer,"Salt Lake City, UT",,82386,96142,111251,127791,142850
Data Engineer,"Frisco, TX",,85185,99408,115031,132133,147703
Data Engineer,"Yonkers, NY",,98991,115520,133674,153548,171642
Data Engineer,"Amarillo, TX",,78752,91902,106345,122155,136550
Data Engineer,"Glendale, CA",,96418,112517,130200,149557,167181
Data Engineer,"Huntington Beach, CA",,95756,111745,129307,148531,166034
Data Engineer,"Mckinney, TX",,85047,99248,114845,131920,147465
Data Engineer,"Montgomery, AL",,77017,89877,104002,119464,133542
Data Engineer,"Augusta, GA",,80367,93786,108525,124660,139349
Data Engineer,"Aurora, IL",,89829,104828,121303,139337,155756
Data Engineer,"Akron, OH",,82454,96221,111343,127897,142968
Data Engineer,"Little Rock, AR",,79304,92545,107089,123011,137506
Data Engineer,"Tempe, AZ",,84850,99017,114579,131613,147123
Data Engineer,"Columbus, GA",,78106,91147,105471,121152,135429
Data Engineer,"Overland Park, KS",,83957,97975,113373,130228,145574
Data Engineer,"Grand Prairie, TX",,85139,99355,114969,132062,147624
Data Engineer,"Tallahassee, FL",,77377,90297,104488,120023,134166
Data Engineer,"Cape Coral, FL",,80374,93794,108534,124670,139361
Data Engineer,"Mobile, AL",,79422,92683,107249,123194,137711
Data Engineer,"Knoxville, TN",,78795,91952,106403,122222,136624
Data Engineer,"Shreveport, LA",,78958,92142,106623,122475,136907
Data Engineer,"Worcester, MA",,90629,105762,122383,140578,157144
Data Engineer,"Ontario, CA",,91737,107055,123879,142297,159065
Data Engineer,"Vancouver, WA",,89242,104144,120510,138427,154739
Data Engineer,"Sioux Falls, SD",,77095,89968,104106,119584,133676
Data Engineer,"Chattanooga, TN",,77429,90357,104558,120102,134255
Data Engineer,"Brownsville, TX",,75154,87703,101486,116574,130311
Data Engineer,"Fort Lauderdale, FL",,83398,97324,112619,129362,144606
Data Engineer,"Providence, RI",,90431,105531,122116,140271,156800
Data Engineer,"Newport News, VA",,81311,94888,109801,126125,140987
Data Engineer,"Rancho Cucamonga, CA",,91426,106691,123458,141813,158525
Data Engineer,"Santa Rosa, CA",,94915,110763,128170,147226,164575
Data Engineer,"Peoria, AZ",,84665,98802,114329,131327,146802
Data Engineer,"Oceanside, CA",,92812,108309,125330,143963,160928
Data Engineer,"Elk Grove, CA",,92862,108368,125399,144042,161016
Data Engineer,"Salem, OR",,84822,98985,114541,131571,147075
Data Engineer,"Pembroke Pines, FL",,82857,96692,111888,128523,143668
Data Engineer,"Eugene, OR",,84523,98637,114138,131107,146557
Data Engineer,"Garden Grove, CA",,95971,111996,129597,148864,166406
Data Engineer,"Cary, NC",,83707,97684,113036,129842,145142
Data Engineer,"Fort Collins, CO",,84231,98296,113744,130654,146050
Data Engineer,"Corona, CA",,92267,107673,124595,143119,159984
Data Engineer,"Springfield, MO",,80281,93686,108409,124526,139201
Data Engineer,"Jackson, MS",,76868,89703,103800,119233,133283
Data Engineer,"Alexandria, VA",,95602,111565,129098,148291,165766
Data Engineer,"Hayward, CA",,104602,122068,141252,162252,181372
Data Engineer,"Clarksville, TN",,78005,91030,105336,120996,135254
Data Engineer,"Lancaster, CA",,95902,111916,129504,148758,166287
Data Engineer,"Salinas, CA",,95150,111038,128488,147591,164983
Data Engineer,"Palmdale, CA",,95430,111364,128866,148025,165468
Data Engineer,"Hollywood, FL",,83398,97324,112619,129362,144606
Data Engineer,"Springfield, MA",,89723,104705,121160,139173,155573
Data Engineer,"Macon, GA",,79772,93092,107722,123738,138319
Data Engineer,"Kansas City, KS",,84206,98266,113709,130614,146006
Data Engineer,"Sunnyvale, CA",,107780,125776,145543,167181,186881
Data Engineer,"Pomona, CA",,95397,111326,128822,147974,165412
Data Engineer,"Killeen, TX",,78086,91124,105445,121122,135394
Data Engineer,"Escondido, CA",,92163,107552,124455,142958,159804
Data Engineer,"Pasadena, TX",,87062,101599,117566,135045,150958
Data Engineer,"Naperville, IL",,88932,103781,120091,137945,154200
Data Engineer,"Bellevue, WA",,94760,110583,127962,146986,164307
Data Engineer,"Joliet, IL",,88296,103039,119232,136959,153098
Data Engineer,"Murfreesboro, TN",,79468,92738,107312,123266,137792
Data Engineer,"Midland, TX",,76665,89466,103527,118918,132931
Data Engineer,"Rockford, IL",,84575,98697,114208,131187,146646
Data Engineer,"Paterson, NJ",,99020,115554,133714,153593,171693
Data Engineer,"Savannah, GA",,80697,94172,108971,125173,139923
Data Engineer,"Bridgeport, CT",,97560,113850,131742,151329,169161
Data Engineer,"Torrance, CA",,95756,111745,129307,148531,166034
Data Engineer,"Mcallen, TX",,73857,86189,99734,114562,128062
Data Engineer,"Syracuse, NY",,85411,99673,115337,132485,148096
Data Engineer,"Surprise, AZ",,84092,98133,113556,130438,145809
Data Engineer,"Denton, TX",,84121,98168,113595,130484,145860
Data Engineer,"Roseville, CA",,92759,108248,125259,143882,160837
Data Engineer,"Thornton, CO",,87280,101854,117861,135383,151337
Data Engineer,"Pasadena, CA",,96418,112517,130200,149557,167181
Data Engineer,"Mesquite, TX",,85231,99462,115094,132205,147784
Data Engineer,"Olathe, KS",,83728,97708,113064,129874,145178
Data Engineer,"Dayton, OH",,83312,97223,112503,129229,144457
Data Engineer,"Carrollton, TX",,85277,99515,115155,132275,147863
Data Engineer,"Waco, TX",,77866,90867,105148,120781,135013
Data Engineer,"Orange, CA",,95756,111745,129307,148531,166034
Data Engineer,"Fullerton, CA",,95971,111996,129597,148864,166406
