Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Business Analyst,"Baton Rouge, LA",,63349,70075,77464,85944,93664
Business Analyst,"Tacoma, WA",,72490,80188,88642,98346,107181
Business Analyst,"San Bernardino, CA",,71811,79436,87811,97424,106176
Business Analyst,"Modesto, CA",,71545,79142,87487,97064,105783
Business Analyst,"Fontana, CA",,72111,79769,88179,97832,106620
Business Analyst,"Des Moines, IA",,65096,72008,79600,88314,96247
Business Analyst,"Moreno Valley, CA",,72057,79709,88113,97759,106541
Business Analyst,"Santa Clarita, CA",,74705,82638,91351,101351,110455
Business Analyst,"Fayetteville, NC",,61852,68420,75634,83913,91452
Business Analyst,"Birmingham, AL",,63618,70374,77793,86309,94063
Business Analyst,"Oxnard, CA",,72260,79933,88360,98033,106840
Business Analyst,"Rochester, NY",,66449,73505,81255,90149,98248
Business Analyst,"Grand Rapids, MI",,65371,72312,79937,88687,96654
Business Analyst,"Huntsville, AL",,64461,71306,78824,87453,95309
Business Analyst,"Salt Lake City, UT",,64664,71530,79072,87728,95609
Business Analyst,"Frisco, TX",,66860,73960,81758,90708,98857
Business Analyst,"Yonkers, NY",,77697,85947,95009,105409,114879
Business Analyst,"Amarillo, TX",,61812,68375,75584,83859,91392
Business Analyst,"Glendale, CA",,75677,83713,92539,102670,111893
Business Analyst,"Huntington Beach, CA",,75158,83139,91905,101965,111125
Business Analyst,"Mckinney, TX",,66753,73841,81626,90562,98697
Business Analyst,"Montgomery, AL",,60450,66869,73919,82011,89379
Business Analyst,"Augusta, GA",,63079,69777,77134,85578,93265
Business Analyst,"Aurora, IL",,70506,77993,86216,95654,104246
Business Analyst,"Akron, OH",,64717,71589,79137,87800,95687
Business Analyst,"Little Rock, AR",,62244,68854,76114,84446,92032
Business Analyst,"Tempe, AZ",,66598,73669,81437,90351,98468
Business Analyst,"Columbus, GA",,61304,67814,74964,83170,90641
Business Analyst,"Overland Park, KS",,65896,72894,80579,89400,97431
Business Analyst,"Grand Prairie, TX",,66825,73921,81714,90660,98804
Business Analyst,"Tallahassee, FL",,60732,67181,74265,82394,89796
Business Analyst,"Cape Coral, FL",,63084,69783,77141,85585,93273
Business Analyst,"Mobile, AL",,62337,68957,76227,84572,92169
Business Analyst,"Knoxville, TN",,61845,68413,75626,83904,91442
Business Analyst,"Shreveport, LA",,61973,68554,75782,84078,91631
Business Analyst,"Worcester, MA",,71134,78687,86984,96506,105175
Business Analyst,"Ontario, CA",,72004,79649,88047,97686,106461
Business Analyst,"Vancouver, WA",,70045,77483,85653,95029,103566
Business Analyst,"Sioux Falls, SD",,60511,66936,73994,82094,89468
Business Analyst,"Chattanooga, TN",,60773,67226,74314,82449,89856
Business Analyst,"Brownsville, TX",,58987,65251,72131,80027,87216
Business Analyst,"Fort Lauderdale, FL",,65458,72409,80044,88806,96784
Business Analyst,"Providence, RI",,70978,78515,86794,96295,104945
Business Analyst,"Newport News, VA",,63820,70597,78041,86584,94362
Business Analyst,"Rancho Cucamonga, CA",,71759,79379,87748,97354,106099
Business Analyst,"Santa Rosa, CA",,74498,82408,91097,101069,110148
Business Analyst,"Peoria, AZ",,66453,73509,81259,90155,98254
Business Analyst,"Oceanside, CA",,72847,80582,89078,98830,107708
Business Analyst,"Elk Grove, CA",,72887,80626,89127,98884,107767
Business Analyst,"Salem, OR",,66576,73645,81410,90322,98436
Business Analyst,"Pembroke Pines, FL",,65034,71939,79524,88230,96156
Business Analyst,"Eugene, OR",,66341,73386,81123,90004,98089
Business Analyst,"Garden Grove, CA",,75327,83325,92111,102194,111374
Business Analyst,"Cary, NC",,65701,72678,80340,89135,97142
Business Analyst,"Fort Collins, CO",,66112,73132,80843,89693,97750
Business Analyst,"Corona, CA",,72419,80109,88556,98250,107076
Business Analyst,"Springfield, MO",,63012,69702,77052,85486,93166
Business Analyst,"Jackson, MS",,60333,66739,73776,81852,89205
Business Analyst,"Alexandria, VA",,75037,83005,91756,101801,110946
Business Analyst,"Hayward, CA",,82101,90819,100395,111385,121391
Business Analyst,"Clarksville, TN",,61225,67727,74867,83063,90525
Business Analyst,"Lancaster, CA",,75273,83266,92045,102121,111295
Business Analyst,"Salinas, CA",,74682,82613,91323,101320,110422
Business Analyst,"Palmdale, CA",,74902,82856,91592,101618,110746
Business Analyst,"Hollywood, FL",,65458,72409,80044,88806,96784
Business Analyst,"Springfield, MA",,70423,77901,86114,95541,104124
Business Analyst,"Macon, GA",,62612,69261,76564,84945,92576
Business Analyst,"Kansas City, KS",,66092,73110,80818,89666,97720
Business Analyst,"Sunnyvale, CA",,84595,93578,103444,114768,125078
Business Analyst,"Pomona, CA",,74876,82827,91560,101583,110709
Business Analyst,"Killeen, TX",,61289,67797,74945,83149,90618
Business Analyst,"Escondido, CA",,72338,80019,88456,98139,106955
Business Analyst,"Pasadena, TX",,68334,75590,83560,92707,101035
Business Analyst,"Naperville, IL",,69801,77213,85354,94698,103205
Business Analyst,"Bellevue, WA",,74376,82274,90949,100905,109969
Business Analyst,"Joliet, IL",,69303,76662,84744,94021,102467
Business Analyst,"Murfreesboro, TN",,62374,68997,76272,84621,92223
Business Analyst,"Midland, TX",,60174,66563,73581,81636,88970
Business Analyst,"Rockford, IL",,66382,73431,81173,90059,98149
Business Analyst,"Paterson, NJ",,77720,85972,95037,105441,114912
Business Analyst,"Savannah, GA",,63338,70064,77451,85930,93649
Business Analyst,"Bridgeport, CT",,76574,84705,93636,103886,113218
Business Analyst,"Torrance, CA",,75158,83139,91905,101965,111125
Business Analyst,"Mcallen, TX",,57970,64125,70886,78646,85711
Business Analyst,"Syracuse, NY",,67038,74157,81976,90950,99120
Business Analyst,"Surprise, AZ",,66003,73012,80710,89545,97589
Business Analyst,"Denton, TX",,66026,73037,80738,89576,97623
Business Analyst,"Roseville, CA",,72806,80537,89028,98774,107647
Business Analyst,"Thornton, CO",,68505,75779,83769,92939,101288
Business Analyst,"Pasadena, CA",,75677,83713,92539,102670,111893
Business Analyst,"Mesquite, TX",,66897,74000,81803,90757,98910
Business Analyst,"Olathe, KS",,65717,72695,80360,89157,97166
Business Analyst,"Dayton, OH",,65391,72335,79961,88715,96684
Business Analyst,"Carrollton, TX",,66933,74040,81846,90806,98963
Business Analyst,"Waco, TX",,61116,67606,74734,82915,90363
Business Analyst,"Orange, CA",,75158,83139,91905,101965,111125
Business Analyst,"Fullerton, CA",,75327,83325,92111,102194,111374
Business Analyst,"Charleston, SC",,64012,70809,78275,86843,94645
Business Analyst,"Visalia, CA",,67137,74266,82096,91083,99265
Business Analyst,"Hampton, VA",,63820,70597,78041,86584,94362
Business Analyst,"Gainesville, FL",,61333,67846,74999,83209,90684
Business Analyst,"Warren, MI",,68155,75392,83341,92464,100770
Business Analyst,"Coral Springs, FL",,65458,72409,80044,88806,96784
Business Analyst,"Cedar Rapids, IA",,64494,71343,78865,87498,95358
Business Analyst,"Round Rock, TX",,66043,73056,80758,89599,97648
Business Analyst,"Sterling Heights, MI",,67939,75153,83077,92171,100451
Business Analyst,"Kent, WA",,72346,80028,88466,98150,106967
Business Analyst,"Columbia, SC",,62461,69094,76379,84740,92353
Business Analyst,"Santa Clara, CA",,84595,93578,103444,114768,125078
Business Analyst,"New Haven, CT",,73048,80805,89325,99103,108006
Business Analyst,"Stamford, CT",,77569,85805,94852,105236,114689
Business Analyst,"Concord, CA",,76498,84621,93543,103783,113106
Business Analyst,"Elizabeth, NJ",,76304,84407,93306,103520,112819
Business Analyst,"Athens, GA",,65734,72714,80381,89180,97191
Business Analyst,"Thousand Oaks, CA",,73163,80932,89465,99259,108175
Business Analyst,"Lafayette, LA",,61459,67985,75153,83380,90871
Business Analyst,"Simi Valley, CA",,73655,81476,90067,99926,108903
Business Analyst,"Topeka, KS",,62344,68964,76236,84581,92179
Business Analyst,"Norman, OK",,61171,67667,74801,82990,90445
Business Analyst,"Fargo, ND",,63241,69956,77332,85797,93505
Business Analyst,"Wilmington, NC",,62088,68681,75922,84234,91800
Business Analyst,"Abilene, TX",,60949,67421,74529,82688,90116
Business Analyst,"Odessa, TX",,60174,66563,73581,81636,88970
Business Analyst,"Columbia, MO",,65605,72571,80223,89004,97000
Business Analyst,"Pearland, TX",,68370,75630,83604,92757,101089
Business Analyst,"Victorville, CA",,71530,79125,87468,97043,105760
Business Analyst,"Hartford, CT",,72988,80738,89251,99021,107916
Business Analyst,"Vallejo, CA",,75832,83885,92729,102880,112122
Business Analyst,"Allentown, PA",,67932,75146,83069,92162,100441
Business Analyst,"Berkeley, CA",,82236,90968,100559,111568,121590
Business Analyst,"Richardson, TX",,66968,74079,81890,90854,99016
Business Analyst,"Arvada, CO",,68505,75779,83769,92939,101288
Business Analyst,"Ann Arbor, MI",,69557,76943,85055,94366,102843
Business Analyst,"Rochester, MN",,67575,74750,82632,91677,99913
Business Analyst,"Cambridge, MA",,75947,84011,92869,103035,112291
Business Analyst,"Sugar Land, TX",,68370,75630,83604,92757,101089
Business Analyst,"Lansing, MI",,65249,72178,79788,88522,96475
Business Analyst,"Evansville, IN",,63711,70476,77906,86435,94199
Business Analyst,"College Station, TX",,60356,66765,73804,81883,89239
Business Analyst,"Fairfield, CA",,75617,83646,92465,102587,111803
Business Analyst,"Clearwater, FL",,63894,70679,78131,86683,94470
Business Analyst,"Beaumont, TX",,65377,72320,79945,88696,96664
Business Analyst,"Independence, MO",,66034,73046,80748,89587,97635
Business Analyst,"Provo, UT",,61980,68562,75790,84087,91641
Business Analyst,"West Jordan, UT",,64430,71272,78787,87411,95264
Business Analyst,"Murrieta, CA",,73515,81322,89896,99737,108696
Business Analyst,"Palm Bay, FL",,61569,68107,75288,83529,91033
Business Analyst,"El Monte, CA",,75596,83624,92441,102560,111773
Business Analyst,"Carlsbad, CA",,72338,80019,88456,98139,106955
Business Analyst,"North Charleston, SC",,64012,70809,78275,86843,94645
Business Analyst,"Temecula, CA",,72502,80200,88656,98361,107197
Business Analyst,"Clovis, CA",,67326,74475,82327,91339,99544
Business Analyst,"Springfield, IL",,63787,70560,78000,86538,94312
Business Analyst,"Meridian, ID",,62706,69365,76678,85072,92714
Business Analyst,"Westminster, CO",,68505,75779,83769,92939,101288
Business Analyst,"Costa Mesa, CA",,75158,83139,91905,101965,111125
Business Analyst,"High Point, NC",,64805,71686,79244,87919,95817
Business Analyst,"Manchester, NH",,69159,76503,84569,93827,102255
Business Analyst,"Pueblo, CO",,63254,69971,77348,85816,93525
Business Analyst,"Lakeland, FL",,63725,70491,77924,86454,94220
Business Analyst,"Pompano Beach, FL",,65458,72409,80044,88806,96784
Business Analyst,"West Palm Beach, FL",,65746,72728,80396,89196,97209
Business Analyst,"Antioch, CA",,77593,85832,94882,105269,114725
Business Analyst,"Everett, WA",,73042,80798,89317,99094,107996
